Time: 4.83, Decolonized Patient: 973812141
Time: 8.64, Decolonized Patient: 1606783818
Time: 15.98, Decolonized Patient: 1592669470
Time: 22.11, Decolonized Patient: 468332224
Time: 25.02, Decolonized Patient: 1589082169
Time: 25.59, Decolonized Patient: 899385967
Time: 27.82, Decolonized Patient: 468332224
Time: 28.36, Decolonized Patient: 326121341
Time: 28.54, Decolonized Patient: 2144857401
Time: 28.81, Decolonized Patient: 442303874
Time: 31.45, Decolonized Patient: 442303874
Time: 33.04, Decolonized Patient: 1684745010
Time: 36.62, Decolonized Patient: 523078396
Time: 37.33, Decolonized Patient: 1793962473
Time: 38.54, Decolonized Patient: 1573055132
Time: 41.56, Decolonized Patient: 1360952601
Time: 44.47, Decolonized Patient: 1179211973
Time: 48.19, Decolonized Patient: 2092359776
Time: 49.53, Decolonized Patient: 414055615
Time: 52.44, Decolonized Patient: 1262294960
Time: 53.82, Decolonized Patient: 2082456535
Time: 53.93, Decolonized Patient: 74395597
Time: 54.65, Decolonized Patient: 1891159521
Time: 57.00, Decolonized Patient: 1518308503
Time: 58.49, Decolonized Patient: 1589082169
Time: 58.87, Decolonized Patient: 1362326019
Time: 59.10, Decolonized Patient: 1592669470
Time: 60.60, Decolonized Patient: 481349367
Time: 60.75, Decolonized Patient: 1904690506
Time: 62.24, Decolonized Patient: 820661615
Time: 63.80, Decolonized Patient: 1044841544
Time: 64.17, Decolonized Patient: 1424012808
Time: 65.89, Decolonized Patient: 1518308503
Time: 67.28, Decolonized Patient: 1577816578
Time: 67.51, Decolonized Patient: 1589082169
Time: 69.36, Decolonized Patient: 1984761858
Time: 71.75, Decolonized Patient: 1124055852
Time: 75.99, Decolonized Patient: 2002485698
Time: 76.79, Decolonized Patient: 537712028
Time: 80.08, Decolonized Patient: 2081676696
Time: 82.33, Decolonized Patient: 1948230109
Time: 85.12, Decolonized Patient: 563108719
Time: 87.42, Decolonized Patient: 576818104
Time: 87.94, Decolonized Patient: 417605328
Time: 88.57, Decolonized Patient: 396733372
Time: 88.98, Decolonized Patient: 688878235
Time: 89.46, Decolonized Patient: 998958166
Time: 90.14, Decolonized Patient: 1647317213
Time: 91.30, Decolonized Patient: 116204605
Time: 91.42, Decolonized Patient: 1040758516
Time: 93.92, Decolonized Patient: 688878235
Time: 94.76, Decolonized Patient: 1656823007
Time: 96.85, Decolonized Patient: 91821046
Time: 97.04, Decolonized Patient: 1647317213
Time: 98.66, Decolonized Patient: 1733303332
Time: 99.89, Decolonized Patient: 1302872469
Time: 100.57, Decolonized Patient: 860016805
Time: 102.40, Decolonized Patient: 240164934
Time: 105.28, Decolonized Patient: 169821016
Time: 106.28, Decolonized Patient: 116204605
Time: 106.97, Decolonized Patient: 1272377143
Time: 107.32, Decolonized Patient: 919662203
Time: 107.34, Decolonized Patient: 240164934
Time: 108.21, Decolonized Patient: 876061106
Time: 109.09, Decolonized Patient: 877831454
Time: 110.00, Decolonized Patient: 999388903
Time: 110.44, Decolonized Patient: 476139318
Time: 111.88, Decolonized Patient: 450867107
Time: 112.15, Decolonized Patient: 558024013
Time: 112.93, Decolonized Patient: 445348814
Time: 112.95, Decolonized Patient: 774716884
Time: 113.80, Decolonized Patient: 656997804
Time: 113.89, Decolonized Patient: 1582010208
Time: 115.92, Decolonized Patient: 1115219468
Time: 116.02, Decolonized Patient: 1031071133
Time: 116.04, Decolonized Patient: 2123833368
Time: 120.82, Decolonized Patient: 786958534
Time: 122.12, Decolonized Patient: 1048242608
Time: 122.67, Decolonized Patient: 380194561
Time: 122.79, Decolonized Patient: 1620849191
Time: 122.83, Decolonized Patient: 2019692130
Time: 123.18, Decolonized Patient: 1524780650
Time: 126.93, Decolonized Patient: 1895918895
Time: 128.48, Decolonized Patient: 1595994201
Time: 129.72, Decolonized Patient: 1453704479
Time: 130.01, Decolonized Patient: 2061440177
Time: 130.23, Decolonized Patient: 390845112
Time: 130.43, Decolonized Patient: 415741806
Time: 131.85, Decolonized Patient: 2015856546
Time: 134.29, Decolonized Patient: 536391567
Time: 137.31, Decolonized Patient: 2121195943
Time: 138.92, Decolonized Patient: 1540484466
Time: 139.80, Decolonized Patient: 1550621816
Time: 140.33, Decolonized Patient: 663195468
Time: 140.37, Decolonized Patient: 390845112
Time: 141.29, Decolonized Patient: 1088364366
Time: 141.96, Decolonized Patient: 1273379184
Time: 144.20, Decolonized Patient: 1444104720
Time: 146.97, Decolonized Patient: 372572423
Time: 147.52, Decolonized Patient: 1048242608
Time: 147.59, Decolonized Patient: 1524780650
Time: 148.44, Decolonized Patient: 390845112
Time: 151.88, Decolonized Patient: 131369486
Time: 153.14, Decolonized Patient: 2136421258
Time: 153.79, Decolonized Patient: 1516141706
Time: 153.98, Decolonized Patient: 267228354
Time: 155.43, Decolonized Patient: 1958905206
Time: 156.62, Decolonized Patient: 602293138
Time: 157.36, Decolonized Patient: 1491408290
Time: 158.77, Decolonized Patient: 390845112
Time: 162.98, Decolonized Patient: 1541545073
Time: 165.40, Decolonized Patient: 2071714377
Time: 166.60, Decolonized Patient: 1093433380
Time: 168.93, Decolonized Patient: 414592977
Time: 170.62, Decolonized Patient: 1312090718
Time: 170.69, Decolonized Patient: 1594100957
Time: 173.27, Decolonized Patient: 970240892
Time: 174.12, Decolonized Patient: 1081118863
Time: 174.65, Decolonized Patient: 1656845629
Time: 174.67, Decolonized Patient: 1163782752
Time: 175.30, Decolonized Patient: 1749139139
Time: 176.30, Decolonized Patient: 1266237329
Time: 176.38, Decolonized Patient: 1103645526
Time: 177.66, Decolonized Patient: 7373449
Time: 178.71, Decolonized Patient: 425060193
Time: 182.03, Decolonized Patient: 1206681765
Time: 182.53, Decolonized Patient: 477150983
Time: 182.56, Decolonized Patient: 342895838
Time: 182.57, Decolonized Patient: 2137324341
Time: 182.64, Decolonized Patient: 453872926
Time: 183.16, Decolonized Patient: 395293651
Time: 183.55, Decolonized Patient: 1592886356
Time: 184.10, Decolonized Patient: 517096431
Time: 184.22, Decolonized Patient: 205824425
Time: 184.24, Decolonized Patient: 548263682
Time: 184.26, Decolonized Patient: 1099275304
Time: 184.32, Decolonized Patient: 395176645
Time: 184.45, Decolonized Patient: 1821270543
Time: 185.88, Decolonized Patient: 53328383
Time: 186.23, Decolonized Patient: 1087995871
Time: 186.35, Decolonized Patient: 1513289785
Time: 187.40, Decolonized Patient: 1361689402
Time: 187.87, Decolonized Patient: 1764532435
Time: 188.41, Decolonized Patient: 1747847798
Time: 189.07, Decolonized Patient: 1517554642
Time: 189.41, Decolonized Patient: 30822978
Time: 189.89, Decolonized Patient: 1312090718
Time: 191.67, Decolonized Patient: 1168482486
Time: 192.21, Decolonized Patient: 349039457
Time: 192.68, Decolonized Patient: 282439978
Time: 193.33, Decolonized Patient: 601178846
Time: 193.61, Decolonized Patient: 2094588987
Time: 194.63, Decolonized Patient: 588221210
Time: 195.92, Decolonized Patient: 955674899
Time: 196.40, Decolonized Patient: 1182186970
Time: 196.84, Decolonized Patient: 1469996939
Time: 197.81, Decolonized Patient: 1511210130
Time: 198.14, Decolonized Patient: 1520101406
Time: 199.89, Decolonized Patient: 227042821
Time: 200.38, Decolonized Patient: 92877022
Time: 201.40, Decolonized Patient: 655612800
Time: 201.74, Decolonized Patient: 364086372
Time: 202.08, Decolonized Patient: 971026911
Time: 204.85, Decolonized Patient: 1660219832
Time: 205.63, Decolonized Patient: 1041728607
Time: 205.98, Decolonized Patient: 1537278361
Time: 207.20, Decolonized Patient: 1803820721
Time: 209.15, Decolonized Patient: 815339144
Time: 209.18, Decolonized Patient: 486696531
Time: 210.07, Decolonized Patient: 348030141
Time: 210.19, Decolonized Patient: 2098740089
Time: 212.73, Decolonized Patient: 574832874
Time: 216.52, Decolonized Patient: 1307226985
Time: 216.83, Decolonized Patient: 2014919594
Time: 218.04, Decolonized Patient: 976206299
Time: 219.92, Decolonized Patient: 1709084130
Time: 220.04, Decolonized Patient: 1258542789
Time: 221.12, Decolonized Patient: 816209133
Time: 221.93, Decolonized Patient: 1573306589
Time: 222.72, Decolonized Patient: 259334476
Time: 223.26, Decolonized Patient: 2038826660
Time: 223.45, Decolonized Patient: 1434296628
Time: 226.44, Decolonized Patient: 229864964
Time: 227.25, Decolonized Patient: 529718283
Time: 228.92, Decolonized Patient: 2137324341
Time: 231.16, Decolonized Patient: 1444656520
Time: 231.32, Decolonized Patient: 1737134341
Time: 232.62, Decolonized Patient: 815339144
Time: 234.88, Decolonized Patient: 460244734
Time: 235.22, Decolonized Patient: 1653386548
Time: 235.22, Decolonized Patient: 259039407
Time: 238.26, Decolonized Patient: 820767947
Time: 238.34, Decolonized Patient: 1964355948
Time: 238.88, Decolonized Patient: 1267190305
Time: 239.63, Decolonized Patient: 512507731
Time: 240.74, Decolonized Patient: 975622690
Time: 241.53, Decolonized Patient: 898830631
Time: 241.60, Decolonized Patient: 141618499
Time: 242.19, Decolonized Patient: 813483266
Time: 242.58, Decolonized Patient: 1183532295
Time: 242.92, Decolonized Patient: 360488483
Time: 242.93, Decolonized Patient: 1034506973
Time: 243.06, Decolonized Patient: 1712148083
Time: 243.29, Decolonized Patient: 654453848
Time: 243.42, Decolonized Patient: 1223111654
Time: 243.68, Decolonized Patient: 1340708038
Time: 244.95, Decolonized Patient: 1521745474
Time: 247.46, Decolonized Patient: 539668288
Time: 248.62, Decolonized Patient: 756992460
Time: 249.35, Decolonized Patient: 2000292639
Time: 250.74, Decolonized Patient: 1827248234
Time: 251.49, Decolonized Patient: 1803820721
Time: 251.59, Decolonized Patient: 488900892
Time: 251.77, Decolonized Patient: 820767947
Time: 252.35, Decolonized Patient: 1285351459
Time: 252.87, Decolonized Patient: 1803820721
Time: 252.91, Decolonized Patient: 1473800262
Time: 253.23, Decolonized Patient: 57707346
Time: 253.63, Decolonized Patient: 1564976286
Time: 256.36, Decolonized Patient: 94854365
Time: 257.11, Decolonized Patient: 688912158
Time: 258.18, Decolonized Patient: 1343607751
Time: 258.99, Decolonized Patient: 1217481443
Time: 259.69, Decolonized Patient: 1139177568
Time: 259.95, Decolonized Patient: 1971943602
Time: 261.06, Decolonized Patient: 868661766
Time: 261.34, Decolonized Patient: 863553845
Time: 261.46, Decolonized Patient: 1499142564
Time: 264.13, Decolonized Patient: 1979214444
Time: 264.32, Decolonized Patient: 1814958213
Time: 264.58, Decolonized Patient: 1156293916
Time: 265.39, Decolonized Patient: 117363041
Time: 265.44, Decolonized Patient: 1308629553
Time: 265.58, Decolonized Patient: 192921436
Time: 267.56, Decolonized Patient: 960220714
Time: 268.30, Decolonized Patient: 2137324341
Time: 268.36, Decolonized Patient: 96456728
Time: 268.51, Decolonized Patient: 1407708895
Time: 268.77, Decolonized Patient: 376167189
Time: 268.95, Decolonized Patient: 709342668
Time: 269.12, Decolonized Patient: 1205987226
Time: 269.70, Decolonized Patient: 1875883855
Time: 269.75, Decolonized Patient: 264050384
Time: 269.97, Decolonized Patient: 630372931
Time: 270.40, Decolonized Patient: 1747004751
Time: 271.60, Decolonized Patient: 1971117829
Time: 271.65, Decolonized Patient: 2137324341
Time: 273.02, Decolonized Patient: 122196325
Time: 273.55, Decolonized Patient: 1660725667
Time: 275.17, Decolonized Patient: 1427726086
Time: 276.44, Decolonized Patient: 109332483
Time: 277.42, Decolonized Patient: 1528286635
Time: 277.61, Decolonized Patient: 266056059
Time: 277.97, Decolonized Patient: 168190523
Time: 278.01, Decolonized Patient: 1052687764
Time: 278.34, Decolonized Patient: 109332483
Time: 278.71, Decolonized Patient: 1893793489
Time: 278.88, Decolonized Patient: 1397811602
Time: 279.34, Decolonized Patient: 1795331225
Time: 280.23, Decolonized Patient: 6226256
Time: 280.34, Decolonized Patient: 1068969091
Time: 281.29, Decolonized Patient: 1248718880
Time: 282.68, Decolonized Patient: 1671196572
Time: 285.85, Decolonized Patient: 1903614577
Time: 286.00, Decolonized Patient: 1192518896
Time: 286.03, Decolonized Patient: 825995991
Time: 286.40, Decolonized Patient: 2022592894
Time: 288.11, Decolonized Patient: 429432563
Time: 288.51, Decolonized Patient: 1000452546
Time: 289.18, Decolonized Patient: 70366007
Time: 289.32, Decolonized Patient: 96691627
Time: 289.46, Decolonized Patient: 677567431
Time: 289.70, Decolonized Patient: 1137864478
Time: 294.25, Decolonized Patient: 357686878
Time: 294.47, Decolonized Patient: 749052175
Time: 295.31, Decolonized Patient: 1137864478
Time: 295.48, Decolonized Patient: 1432425416
Time: 297.67, Decolonized Patient: 289224565
Time: 298.83, Decolonized Patient: 1248718880
Time: 299.85, Decolonized Patient: 722329587
Time: 300.10, Decolonized Patient: 1803820721
Time: 301.20, Decolonized Patient: 956132674
Time: 301.53, Decolonized Patient: 1545798876
Time: 301.88, Decolonized Patient: 1949314687
Time: 302.55, Decolonized Patient: 2027741303
Time: 302.99, Decolonized Patient: 1261617306
Time: 303.95, Decolonized Patient: 940382880
Time: 305.37, Decolonized Patient: 1698421937
Time: 305.56, Decolonized Patient: 1921909650
Time: 306.26, Decolonized Patient: 945716219
Time: 308.86, Decolonized Patient: 117363041
Time: 309.01, Decolonized Patient: 807483851
Time: 309.19, Decolonized Patient: 387162599
Time: 309.67, Decolonized Patient: 448421592
Time: 310.72, Decolonized Patient: 898525507
Time: 310.82, Decolonized Patient: 390696663
Time: 311.85, Decolonized Patient: 242956290
Time: 313.59, Decolonized Patient: 1096404727
Time: 314.54, Decolonized Patient: 1103967108
Time: 316.21, Decolonized Patient: 1254371817
Time: 316.64, Decolonized Patient: 1199343688
Time: 316.87, Decolonized Patient: 216565333
Time: 316.90, Decolonized Patient: 1148634434
Time: 317.04, Decolonized Patient: 1058043842
Time: 318.79, Decolonized Patient: 1146554004
Time: 319.05, Decolonized Patient: 892860728
Time: 321.18, Decolonized Patient: 156323998
Time: 322.33, Decolonized Patient: 412663094
Time: 324.39, Decolonized Patient: 516512537
Time: 325.93, Decolonized Patient: 732557987
Time: 326.16, Decolonized Patient: 1133497863
Time: 326.23, Decolonized Patient: 1201949367
Time: 328.07, Decolonized Patient: 1035817977
Time: 328.54, Decolonized Patient: 1295177806
Time: 328.88, Decolonized Patient: 19665426
Time: 329.03, Decolonized Patient: 1684125038
