Time: 11.46, Decolonized Patient: 54
Time: 21.54, Decolonized Patient: 30
Time: 32.14, Decolonized Patient: 74
Time: 37.81, Decolonized Patient: 123
Time: 39.73, Decolonized Patient: 137
Time: 41.18, Decolonized Patient: 102
Time: 42.36, Decolonized Patient: 135
Time: 43.75, Decolonized Patient: 5
Time: 45.39, Decolonized Patient: 139
Time: 47.33, Decolonized Patient: 151
Time: 47.36, Decolonized Patient: 164
Time: 47.40, Decolonized Patient: 145
Time: 53.10, Decolonized Patient: 113
Time: 53.96, Decolonized Patient: 40
Time: 55.95, Decolonized Patient: 80
Time: 56.60, Decolonized Patient: 134
Time: 58.53, Decolonized Patient: 193
Time: 58.85, Decolonized Patient: 211
Time: 59.47, Decolonized Patient: 151
Time: 59.56, Decolonized Patient: 143
Time: 59.61, Decolonized Patient: 215
Time: 60.35, Decolonized Patient: 204
Time: 60.85, Decolonized Patient: 122
Time: 60.96, Decolonized Patient: 31
Time: 62.04, Decolonized Patient: 93
Time: 62.45, Decolonized Patient: 163
Time: 63.28, Decolonized Patient: 238
Time: 66.17, Decolonized Patient: 285
Time: 66.33, Decolonized Patient: 158
Time: 68.70, Decolonized Patient: 73
Time: 70.42, Decolonized Patient: 292
Time: 71.67, Decolonized Patient: 188
Time: 72.53, Decolonized Patient: 218
Time: 72.76, Decolonized Patient: 253
Time: 75.51, Decolonized Patient: 185
Time: 76.26, Decolonized Patient: 166
Time: 76.26, Decolonized Patient: 203
Time: 77.70, Decolonized Patient: 324
Time: 78.11, Decolonized Patient: 303
Time: 79.14, Decolonized Patient: 306
Time: 80.68, Decolonized Patient: 242
Time: 80.85, Decolonized Patient: 149
Time: 85.35, Decolonized Patient: 170
Time: 86.43, Decolonized Patient: 17
Time: 86.47, Decolonized Patient: 44
Time: 87.47, Decolonized Patient: 294
Time: 87.71, Decolonized Patient: 154
Time: 87.72, Decolonized Patient: 156
Time: 89.36, Decolonized Patient: 112
Time: 89.80, Decolonized Patient: 6
Time: 90.57, Decolonized Patient: 284
Time: 92.45, Decolonized Patient: 225
Time: 92.55, Decolonized Patient: 195
Time: 96.34, Decolonized Patient: 256
Time: 97.87, Decolonized Patient: 244
Time: 98.18, Decolonized Patient: 271
Time: 98.76, Decolonized Patient: 347
Time: 99.10, Decolonized Patient: 193
Time: 99.74, Decolonized Patient: 114
Time: 101.52, Decolonized Patient: 152
Time: 101.87, Decolonized Patient: 358
Time: 102.84, Decolonized Patient: 100
Time: 103.19, Decolonized Patient: 372
Time: 103.53, Decolonized Patient: 190
Time: 103.87, Decolonized Patient: 366
Time: 104.28, Decolonized Patient: 240
Time: 104.38, Decolonized Patient: 175
Time: 104.92, Decolonized Patient: 168
Time: 106.59, Decolonized Patient: 377
Time: 109.23, Decolonized Patient: 301
Time: 114.68, Decolonized Patient: 381
Time: 116.11, Decolonized Patient: 181
Time: 117.46, Decolonized Patient: 281
Time: 118.97, Decolonized Patient: 432
Time: 119.34, Decolonized Patient: 25
Time: 120.12, Decolonized Patient: 258
Time: 120.13, Decolonized Patient: 224
Time: 120.36, Decolonized Patient: 212
Time: 122.66, Decolonized Patient: 425
Time: 124.83, Decolonized Patient: 423
Time: 125.86, Decolonized Patient: 459
Time: 126.47, Decolonized Patient: 401
Time: 126.50, Decolonized Patient: 52
Time: 126.53, Decolonized Patient: 182
Time: 128.11, Decolonized Patient: 229
Time: 129.10, Decolonized Patient: 332
Time: 130.88, Decolonized Patient: 381
Time: 132.68, Decolonized Patient: 396
Time: 134.72, Decolonized Patient: 343
Time: 138.16, Decolonized Patient: 62
Time: 138.34, Decolonized Patient: 176
Time: 140.97, Decolonized Patient: 549
Time: 142.83, Decolonized Patient: 516
Time: 143.75, Decolonized Patient: 120
Time: 148.27, Decolonized Patient: 556
Time: 149.35, Decolonized Patient: 473
Time: 149.88, Decolonized Patient: 546
Time: 150.39, Decolonized Patient: 97
Time: 152.58, Decolonized Patient: 511
Time: 152.68, Decolonized Patient: 409
Time: 152.97, Decolonized Patient: 574
Time: 156.57, Decolonized Patient: 437
Time: 158.17, Decolonized Patient: 565
Time: 158.40, Decolonized Patient: 455
Time: 159.12, Decolonized Patient: 431
Time: 159.60, Decolonized Patient: 260
Time: 160.37, Decolonized Patient: 332
Time: 160.86, Decolonized Patient: 528
Time: 164.15, Decolonized Patient: 366
Time: 165.96, Decolonized Patient: 502
Time: 166.31, Decolonized Patient: 439
Time: 167.76, Decolonized Patient: 332
Time: 168.55, Decolonized Patient: 546
Time: 169.06, Decolonized Patient: 207
Time: 173.75, Decolonized Patient: 549
Time: 174.20, Decolonized Patient: 622
Time: 174.51, Decolonized Patient: 517
Time: 176.63, Decolonized Patient: 323
Time: 177.52, Decolonized Patient: 522
Time: 179.36, Decolonized Patient: 541
Time: 179.53, Decolonized Patient: 517
Time: 180.29, Decolonized Patient: 446
Time: 180.63, Decolonized Patient: 537
Time: 181.41, Decolonized Patient: 451
Time: 182.95, Decolonized Patient: 191
Time: 183.55, Decolonized Patient: 130
Time: 185.05, Decolonized Patient: 15
Time: 185.34, Decolonized Patient: 585
Time: 185.70, Decolonized Patient: 726
Time: 186.58, Decolonized Patient: 544
Time: 186.91, Decolonized Patient: 373
Time: 186.94, Decolonized Patient: 236
Time: 187.28, Decolonized Patient: 517
Time: 189.14, Decolonized Patient: 656
Time: 191.19, Decolonized Patient: 690
Time: 191.64, Decolonized Patient: 642
Time: 192.04, Decolonized Patient: 148
Time: 192.15, Decolonized Patient: 614
Time: 193.57, Decolonized Patient: 421
Time: 193.71, Decolonized Patient: 641
Time: 194.12, Decolonized Patient: 179
Time: 195.91, Decolonized Patient: 659
Time: 196.70, Decolonized Patient: 446
Time: 197.84, Decolonized Patient: 155
Time: 198.09, Decolonized Patient: 606
Time: 198.11, Decolonized Patient: 724
Time: 201.39, Decolonized Patient: 613
Time: 202.66, Decolonized Patient: 388
Time: 202.72, Decolonized Patient: 499
Time: 202.84, Decolonized Patient: 23
Time: 203.61, Decolonized Patient: 684
Time: 203.91, Decolonized Patient: 660
Time: 206.92, Decolonized Patient: 595
Time: 207.55, Decolonized Patient: 671
Time: 210.09, Decolonized Patient: 782
Time: 211.01, Decolonized Patient: 521
Time: 212.44, Decolonized Patient: 750
Time: 214.21, Decolonized Patient: 775
Time: 216.35, Decolonized Patient: 799
Time: 217.09, Decolonized Patient: 305
Time: 219.39, Decolonized Patient: 299
Time: 219.75, Decolonized Patient: 161
Time: 220.27, Decolonized Patient: 644
Time: 220.73, Decolonized Patient: 779
Time: 222.14, Decolonized Patient: 476
Time: 222.78, Decolonized Patient: 543
Time: 226.97, Decolonized Patient: 821
Time: 228.74, Decolonized Patient: 725
Time: 229.28, Decolonized Patient: 824
Time: 230.15, Decolonized Patient: 852
Time: 231.94, Decolonized Patient: 10
Time: 232.96, Decolonized Patient: 745
Time: 234.07, Decolonized Patient: 640
Time: 234.14, Decolonized Patient: 670
Time: 234.32, Decolonized Patient: 560
Time: 234.42, Decolonized Patient: 341
Time: 234.58, Decolonized Patient: 820
Time: 235.18, Decolonized Patient: 914
Time: 235.27, Decolonized Patient: 360
Time: 237.47, Decolonized Patient: 909
Time: 238.21, Decolonized Patient: 533
Time: 238.55, Decolonized Patient: 285
Time: 240.92, Decolonized Patient: 482
Time: 242.74, Decolonized Patient: 860
Time: 244.18, Decolonized Patient: 245
Time: 244.55, Decolonized Patient: 864
Time: 245.73, Decolonized Patient: 288
Time: 245.91, Decolonized Patient: 480
Time: 246.17, Decolonized Patient: 868
Time: 246.74, Decolonized Patient: 867
Time: 248.32, Decolonized Patient: 774
Time: 248.68, Decolonized Patient: 806
Time: 249.19, Decolonized Patient: 835
Time: 249.28, Decolonized Patient: 96
Time: 249.68, Decolonized Patient: 937
Time: 249.70, Decolonized Patient: 920
Time: 249.90, Decolonized Patient: 555
Time: 254.94, Decolonized Patient: 554
Time: 255.23, Decolonized Patient: 780
Time: 255.28, Decolonized Patient: 275
Time: 256.46, Decolonized Patient: 219
Time: 257.87, Decolonized Patient: 678
Time: 258.14, Decolonized Patient: 973
Time: 258.53, Decolonized Patient: 171
Time: 261.22, Decolonized Patient: 632
Time: 261.24, Decolonized Patient: 806
Time: 261.91, Decolonized Patient: 255
Time: 262.59, Decolonized Patient: 230
Time: 262.95, Decolonized Patient: 886
Time: 263.48, Decolonized Patient: 728
Time: 263.79, Decolonized Patient: 167
Time: 264.41, Decolonized Patient: 850
Time: 264.68, Decolonized Patient: 302
Time: 264.72, Decolonized Patient: 664
Time: 265.12, Decolonized Patient: 873
Time: 266.54, Decolonized Patient: 169
Time: 267.53, Decolonized Patient: 340
Time: 268.29, Decolonized Patient: 72
Time: 269.82, Decolonized Patient: 198
Time: 271.82, Decolonized Patient: 969
Time: 272.09, Decolonized Patient: 809
Time: 272.12, Decolonized Patient: 875
Time: 273.41, Decolonized Patient: 628
Time: 273.48, Decolonized Patient: 1041
Time: 274.53, Decolonized Patient: 56
Time: 274.65, Decolonized Patient: 289
Time: 274.67, Decolonized Patient: 220
Time: 275.63, Decolonized Patient: 946
Time: 276.05, Decolonized Patient: 781
Time: 277.84, Decolonized Patient: 648
Time: 277.86, Decolonized Patient: 402
Time: 277.95, Decolonized Patient: 162
Time: 278.02, Decolonized Patient: 1052
Time: 279.27, Decolonized Patient: 954
Time: 279.95, Decolonized Patient: 689
Time: 280.09, Decolonized Patient: 1039
Time: 280.24, Decolonized Patient: 329
Time: 281.60, Decolonized Patient: 413
Time: 283.67, Decolonized Patient: 0
Time: 285.61, Decolonized Patient: 12
Time: 286.81, Decolonized Patient: 922
Time: 288.55, Decolonized Patient: 1073
Time: 289.37, Decolonized Patient: 845
Time: 290.24, Decolonized Patient: 453
Time: 290.86, Decolonized Patient: 758
Time: 291.66, Decolonized Patient: 1098
Time: 291.74, Decolonized Patient: 763
Time: 292.43, Decolonized Patient: 1037
Time: 292.53, Decolonized Patient: 693
Time: 293.18, Decolonized Patient: 194
Time: 295.25, Decolonized Patient: 925
Time: 295.84, Decolonized Patient: 1066
Time: 296.08, Decolonized Patient: 767
Time: 296.45, Decolonized Patient: 930
Time: 297.43, Decolonized Patient: 1078
Time: 299.11, Decolonized Patient: 1050
Time: 300.78, Decolonized Patient: 891
Time: 301.16, Decolonized Patient: 1053
Time: 302.43, Decolonized Patient: 1023
Time: 303.37, Decolonized Patient: 828
Time: 303.45, Decolonized Patient: 231
Time: 303.81, Decolonized Patient: 1077
Time: 303.93, Decolonized Patient: 862
Time: 304.03, Decolonized Patient: 951
Time: 305.12, Decolonized Patient: 999
Time: 305.98, Decolonized Patient: 1137
Time: 306.91, Decolonized Patient: 1131
Time: 306.93, Decolonized Patient: 484
Time: 307.66, Decolonized Patient: 1192
Time: 307.87, Decolonized Patient: 391
Time: 310.31, Decolonized Patient: 625
Time: 310.33, Decolonized Patient: 737
Time: 310.52, Decolonized Patient: 1005
Time: 310.57, Decolonized Patient: 916
Time: 311.02, Decolonized Patient: 921
Time: 311.54, Decolonized Patient: 368
Time: 312.68, Decolonized Patient: 274
Time: 312.81, Decolonized Patient: 610
Time: 313.53, Decolonized Patient: 1141
Time: 313.71, Decolonized Patient: 1129
Time: 314.13, Decolonized Patient: 761
Time: 314.97, Decolonized Patient: 1031
Time: 315.17, Decolonized Patient: 942
Time: 315.22, Decolonized Patient: 216
Time: 315.63, Decolonized Patient: 1119
Time: 315.68, Decolonized Patient: 1168
Time: 315.78, Decolonized Patient: 1217
Time: 316.41, Decolonized Patient: 1096
Time: 317.08, Decolonized Patient: 793
Time: 318.05, Decolonized Patient: 1196
Time: 318.14, Decolonized Patient: 803
Time: 318.36, Decolonized Patient: 898
Time: 318.88, Decolonized Patient: 283
Time: 320.36, Decolonized Patient: 1129
Time: 320.37, Decolonized Patient: 1184
Time: 322.25, Decolonized Patient: 889
Time: 323.21, Decolonized Patient: 762
Time: 327.03, Decolonized Patient: 1174
Time: 328.04, Decolonized Patient: 1045
Time: 328.31, Decolonized Patient: 722
Time: 328.50, Decolonized Patient: 815
Time: 330.23, Decolonized Patient: 1116
Time: 330.75, Decolonized Patient: 1071
Time: 331.58, Decolonized Patient: 1164
Time: 331.82, Decolonized Patient: 959
Time: 331.92, Decolonized Patient: 1195
Time: 332.09, Decolonized Patient: 783
Time: 332.69, Decolonized Patient: 1101
Time: 332.84, Decolonized Patient: 1085
Time: 333.45, Decolonized Patient: 342
Time: 333.58, Decolonized Patient: 727
Time: 333.70, Decolonized Patient: 941
Time: 335.29, Decolonized Patient: 1094
Time: 335.46, Decolonized Patient: 1112
Time: 337.06, Decolonized Patient: 949
Time: 338.60, Decolonized Patient: 967
Time: 338.69, Decolonized Patient: 454
Time: 339.02, Decolonized Patient: 847
Time: 339.06, Decolonized Patient: 1161
Time: 341.56, Decolonized Patient: 900
Time: 345.06, Decolonized Patient: 881
Time: 345.27, Decolonized Patient: 1241
Time: 346.17, Decolonized Patient: 1223
Time: 347.09, Decolonized Patient: 1106
Time: 347.55, Decolonized Patient: 398
Time: 348.11, Decolonized Patient: 1262
Time: 348.24, Decolonized Patient: 840
Time: 348.80, Decolonized Patient: 1272
Time: 350.56, Decolonized Patient: 1247
Time: 351.09, Decolonized Patient: 1021
Time: 352.20, Decolonized Patient: 1246
Time: 352.35, Decolonized Patient: 124
Time: 352.91, Decolonized Patient: 445
Time: 353.18, Decolonized Patient: 1152
Time: 353.34, Decolonized Patient: 1140
Time: 353.83, Decolonized Patient: 957
Time: 354.09, Decolonized Patient: 1219
Time: 354.40, Decolonized Patient: 588
Time: 354.63, Decolonized Patient: 765
Time: 355.64, Decolonized Patient: 407
Time: 356.17, Decolonized Patient: 1229
Time: 356.18, Decolonized Patient: 1245
Time: 356.33, Decolonized Patient: 1170
Time: 356.71, Decolonized Patient: 353
Time: 359.00, Decolonized Patient: 1011
Time: 360.31, Decolonized Patient: 1105
Time: 361.09, Decolonized Patient: 1242
Time: 361.57, Decolonized Patient: 1114
Time: 363.74, Decolonized Patient: 1267
Time: 365.15, Decolonized Patient: 729
Time: 365.52, Decolonized Patient: 1117
Time: 365.65, Decolonized Patient: 666
Time: 365.92, Decolonized Patient: 1220
Time: 366.31, Decolonized Patient: 1027
Time: 366.41, Decolonized Patient: 1197
Time: 367.09, Decolonized Patient: 896
Time: 368.39, Decolonized Patient: 1310
Time: 368.49, Decolonized Patient: 1280
Time: 369.34, Decolonized Patient: 1264
Time: 370.37, Decolonized Patient: 14
Time: 370.75, Decolonized Patient: 1304
Time: 370.94, Decolonized Patient: 1313
Time: 372.02, Decolonized Patient: 986
Time: 375.03, Decolonized Patient: 1117
Time: 375.65, Decolonized Patient: 452
Time: 376.03, Decolonized Patient: 1266
Time: 376.39, Decolonized Patient: 200
Time: 376.49, Decolonized Patient: 375
Time: 376.52, Decolonized Patient: 1160
Time: 376.88, Decolonized Patient: 325
Time: 377.56, Decolonized Patient: 1402
Time: 377.65, Decolonized Patient: 705
Time: 377.86, Decolonized Patient: 1017
Time: 377.92, Decolonized Patient: 4
Time: 378.48, Decolonized Patient: 1331
Time: 379.34, Decolonized Patient: 1028
Time: 379.88, Decolonized Patient: 1246
Time: 380.45, Decolonized Patient: 1259
Time: 380.86, Decolonized Patient: 1
Time: 383.49, Decolonized Patient: 266
Time: 384.40, Decolonized Patient: 1268
Time: 384.56, Decolonized Patient: 1357
Time: 385.11, Decolonized Patient: 709
Time: 385.74, Decolonized Patient: 1133
Time: 386.12, Decolonized Patient: 492
Time: 386.34, Decolonized Patient: 1345
Time: 387.22, Decolonized Patient: 915
Time: 387.40, Decolonized Patient: 1207
Time: 388.08, Decolonized Patient: 972
Time: 388.56, Decolonized Patient: 383
Time: 388.77, Decolonized Patient: 910
Time: 389.80, Decolonized Patient: 1440
Time: 390.06, Decolonized Patient: 1301
Time: 390.36, Decolonized Patient: 813
Time: 390.71, Decolonized Patient: 1357
Time: 392.08, Decolonized Patient: 414
Time: 392.22, Decolonized Patient: 496
Time: 392.78, Decolonized Patient: 1317
Time: 393.30, Decolonized Patient: 561
Time: 393.50, Decolonized Patient: 1437
Time: 394.00, Decolonized Patient: 69
Time: 394.15, Decolonized Patient: 816
Time: 394.37, Decolonized Patient: 1386
Time: 395.00, Decolonized Patient: 1361
Time: 395.20, Decolonized Patient: 46
Time: 397.37, Decolonized Patient: 1035
Time: 398.02, Decolonized Patient: 1044
Time: 399.91, Decolonized Patient: 394
Time: 400.08, Decolonized Patient: 247
Time: 400.36, Decolonized Patient: 1364
Time: 402.97, Decolonized Patient: 1451
Time: 403.32, Decolonized Patient: 1486
Time: 405.45, Decolonized Patient: 1154
Time: 405.80, Decolonized Patient: 1316
Time: 406.09, Decolonized Patient: 926
Time: 406.90, Decolonized Patient: 1527
Time: 408.02, Decolonized Patient: 1439
Time: 409.29, Decolonized Patient: 312
Time: 409.96, Decolonized Patient: 1284
Time: 410.14, Decolonized Patient: 917
Time: 410.39, Decolonized Patient: 1513
Time: 411.74, Decolonized Patient: 1436
Time: 412.55, Decolonized Patient: 1026
Time: 412.77, Decolonized Patient: 1413
Time: 412.90, Decolonized Patient: 94
Time: 413.57, Decolonized Patient: 505
Time: 413.85, Decolonized Patient: 1543
Time: 414.31, Decolonized Patient: 714
Time: 414.38, Decolonized Patient: 487
Time: 414.69, Decolonized Patient: 1134
Time: 415.37, Decolonized Patient: 1467
Time: 415.41, Decolonized Patient: 1263
Time: 416.43, Decolonized Patient: 1346
Time: 416.46, Decolonized Patient: 1431
Time: 416.50, Decolonized Patient: 1167
Time: 417.76, Decolonized Patient: 766
Time: 418.79, Decolonized Patient: 1533
Time: 419.37, Decolonized Patient: 540
Time: 419.77, Decolonized Patient: 1155
Time: 420.58, Decolonized Patient: 1441
Time: 421.03, Decolonized Patient: 1561
Time: 421.42, Decolonized Patient: 590
Time: 422.44, Decolonized Patient: 995
Time: 423.64, Decolonized Patient: 1418
Time: 424.04, Decolonized Patient: 1190
Time: 424.31, Decolonized Patient: 1523
Time: 424.48, Decolonized Patient: 1291
Time: 424.58, Decolonized Patient: 1097
Time: 424.99, Decolonized Patient: 232
Time: 426.79, Decolonized Patient: 1475
Time: 426.88, Decolonized Patient: 1504
Time: 426.92, Decolonized Patient: 756
Time: 428.51, Decolonized Patient: 1124
Time: 431.23, Decolonized Patient: 909
Time: 432.16, Decolonized Patient: 1437
Time: 434.75, Decolonized Patient: 1278
Time: 434.82, Decolonized Patient: 404
Time: 435.00, Decolonized Patient: 374
Time: 435.00, Decolonized Patient: 1524
Time: 435.09, Decolonized Patient: 362
Time: 435.56, Decolonized Patient: 1010
Time: 435.84, Decolonized Patient: 1340
Time: 435.99, Decolonized Patient: 465
Time: 436.20, Decolonized Patient: 996
Time: 436.45, Decolonized Patient: 1561
Time: 437.69, Decolonized Patient: 1422
Time: 437.82, Decolonized Patient: 1567
Time: 437.82, Decolonized Patient: 1490
Time: 438.16, Decolonized Patient: 1338
Time: 438.77, Decolonized Patient: 311
Time: 438.81, Decolonized Patient: 1544
Time: 440.10, Decolonized Patient: 1563
Time: 440.66, Decolonized Patient: 1123
Time: 441.15, Decolonized Patient: 1489
Time: 442.42, Decolonized Patient: 1469
Time: 443.67, Decolonized Patient: 514
Time: 444.52, Decolonized Patient: 1542
Time: 445.70, Decolonized Patient: 558
Time: 445.71, Decolonized Patient: 1369
Time: 447.12, Decolonized Patient: 1231
Time: 448.58, Decolonized Patient: 384
Time: 448.63, Decolonized Patient: 1619
Time: 449.20, Decolonized Patient: 1305
Time: 450.08, Decolonized Patient: 787
Time: 452.04, Decolonized Patient: 682
Time: 452.42, Decolonized Patient: 1104
Time: 452.45, Decolonized Patient: 698
Time: 453.33, Decolonized Patient: 661
Time: 453.34, Decolonized Patient: 1107
Time: 453.41, Decolonized Patient: 791
Time: 453.95, Decolonized Patient: 1484
Time: 455.61, Decolonized Patient: 1619
Time: 457.35, Decolonized Patient: 1369
Time: 458.04, Decolonized Patient: 1147
Time: 460.10, Decolonized Patient: 326
Time: 460.84, Decolonized Patient: 1212
Time: 460.88, Decolonized Patient: 604
Time: 461.29, Decolonized Patient: 1286
Time: 461.32, Decolonized Patient: 209
Time: 461.94, Decolonized Patient: 1499
Time: 462.30, Decolonized Patient: 77
Time: 462.66, Decolonized Patient: 1620
Time: 463.82, Decolonized Patient: 1668
Time: 463.88, Decolonized Patient: 222
Time: 464.12, Decolonized Patient: 1390
Time: 464.39, Decolonized Patient: 1463
Time: 465.56, Decolonized Patient: 1493
Time: 466.98, Decolonized Patient: 1570
Time: 467.07, Decolonized Patient: 1416
Time: 467.41, Decolonized Patient: 1654
Time: 467.57, Decolonized Patient: 1579
Time: 467.59, Decolonized Patient: 902
Time: 467.86, Decolonized Patient: 1647
Time: 468.90, Decolonized Patient: 1471
Time: 469.63, Decolonized Patient: 515
Time: 469.64, Decolonized Patient: 764
Time: 470.36, Decolonized Patient: 1311
Time: 471.96, Decolonized Patient: 1588
Time: 472.09, Decolonized Patient: 1557
Time: 472.52, Decolonized Patient: 1108
Time: 473.24, Decolonized Patient: 508
Time: 473.45, Decolonized Patient: 1711
Time: 474.87, Decolonized Patient: 177
Time: 474.88, Decolonized Patient: 1460
Time: 475.35, Decolonized Patient: 1580
Time: 475.66, Decolonized Patient: 1517
Time: 476.07, Decolonized Patient: 1194
Time: 476.18, Decolonized Patient: 1558
Time: 477.46, Decolonized Patient: 1685
Time: 477.51, Decolonized Patient: 1757
Time: 478.74, Decolonized Patient: 1681
Time: 480.09, Decolonized Patient: 1660
Time: 480.11, Decolonized Patient: 1729
Time: 481.43, Decolonized Patient: 1494
Time: 481.67, Decolonized Patient: 1671
Time: 481.93, Decolonized Patient: 1311
Time: 483.00, Decolonized Patient: 1656
Time: 483.59, Decolonized Patient: 1296
Time: 483.85, Decolonized Patient: 1261
Time: 484.22, Decolonized Patient: 1253
Time: 484.45, Decolonized Patient: 1661
Time: 486.01, Decolonized Patient: 1636
Time: 486.40, Decolonized Patient: 1274
Time: 486.59, Decolonized Patient: 1482
Time: 487.78, Decolonized Patient: 361
Time: 488.43, Decolonized Patient: 1468
Time: 492.21, Decolonized Patient: 1707
Time: 492.55, Decolonized Patient: 1130
Time: 493.28, Decolonized Patient: 849
Time: 493.42, Decolonized Patient: 1565
Time: 493.73, Decolonized Patient: 1772
Time: 497.29, Decolonized Patient: 1658
Time: 497.62, Decolonized Patient: 1056
Time: 497.75, Decolonized Patient: 1712
Time: 498.36, Decolonized Patient: 1788
Time: 498.85, Decolonized Patient: 1270
Time: 499.01, Decolonized Patient: 1063
Time: 499.34, Decolonized Patient: 1750
Time: 499.36, Decolonized Patient: 1099
Time: 499.78, Decolonized Patient: 309
Time: 500.73, Decolonized Patient: 1584
Time: 500.80, Decolonized Patient: 1828
Time: 500.82, Decolonized Patient: 1752
Time: 500.89, Decolonized Patient: 321
Time: 501.00, Decolonized Patient: 1734
Time: 502.05, Decolonized Patient: 851
Time: 502.92, Decolonized Patient: 1730
Time: 503.33, Decolonized Patient: 386
Time: 503.41, Decolonized Patient: 1757
Time: 504.22, Decolonized Patient: 981
Time: 504.56, Decolonized Patient: 1502
Time: 504.83, Decolonized Patient: 1443
Time: 505.39, Decolonized Patient: 1799
Time: 505.52, Decolonized Patient: 1718
Time: 505.88, Decolonized Patient: 559
Time: 505.95, Decolonized Patient: 1578
Time: 506.07, Decolonized Patient: 1539
Time: 506.23, Decolonized Patient: 615
Time: 506.82, Decolonized Patient: 471
Time: 508.44, Decolonized Patient: 1686
Time: 509.18, Decolonized Patient: 1265
Time: 509.79, Decolonized Patient: 1645
Time: 510.66, Decolonized Patient: 1599
Time: 511.25, Decolonized Patient: 933
Time: 511.29, Decolonized Patient: 1450
Time: 511.43, Decolonized Patient: 776
Time: 512.04, Decolonized Patient: 1234
Time: 513.17, Decolonized Patient: 1687
Time: 513.48, Decolonized Patient: 1669
Time: 513.75, Decolonized Patient: 1818
Time: 513.93, Decolonized Patient: 298
Time: 514.78, Decolonized Patient: 1577
Time: 515.03, Decolonized Patient: 1788
Time: 515.28, Decolonized Patient: 1837
Time: 515.73, Decolonized Patient: 1366
Time: 516.20, Decolonized Patient: 1735
Time: 517.26, Decolonized Patient: 970
Time: 517.76, Decolonized Patient: 1826
Time: 517.89, Decolonized Patient: 1221
Time: 518.75, Decolonized Patient: 1872
Time: 519.15, Decolonized Patient: 1731
Time: 519.76, Decolonized Patient: 1761
Time: 521.06, Decolonized Patient: 81
Time: 521.60, Decolonized Patient: 1180
Time: 521.75, Decolonized Patient: 1792
Time: 521.90, Decolonized Patient: 1840
Time: 522.28, Decolonized Patient: 1257
Time: 522.45, Decolonized Patient: 1043
Time: 524.18, Decolonized Patient: 497
Time: 524.47, Decolonized Patient: 747
Time: 525.08, Decolonized Patient: 525
Time: 525.57, Decolonized Patient: 1540
Time: 526.09, Decolonized Patient: 1727
Time: 527.04, Decolonized Patient: 626
Time: 527.61, Decolonized Patient: 1047
Time: 529.37, Decolonized Patient: 1750
Time: 529.71, Decolonized Patient: 1765
Time: 530.21, Decolonized Patient: 1926
Time: 531.63, Decolonized Patient: 1915
Time: 532.47, Decolonized Patient: 1397
Time: 532.67, Decolonized Patient: 1715
Time: 533.24, Decolonized Patient: 1750
Time: 534.93, Decolonized Patient: 1709
Time: 535.93, Decolonized Patient: 736
Time: 536.02, Decolonized Patient: 663
Time: 536.03, Decolonized Patient: 1892
Time: 537.16, Decolonized Patient: 1826
Time: 539.87, Decolonized Patient: 293
Time: 539.97, Decolonized Patient: 1398
Time: 540.30, Decolonized Patient: 1506
Time: 541.18, Decolonized Patient: 448
Time: 541.43, Decolonized Patient: 1496
Time: 542.59, Decolonized Patient: 924
Time: 543.02, Decolonized Patient: 1696
