"run","DoActiveSurveillance","IsolationEffectiveness","DaysBetweenTests","tick","ClinicalDetections","MeanDailyPrevalence","MeanDischargePrevalence","ImportationPrevalence","NumberOfTransmissions"
1,"true",0.5,7.0,5474.0,89547,0.3829313033209919,0.4649163931864354,0.21169480925578488,12894
11,"true",0.5,7.0,5474.0,170474,0.3420085837877081,0.3276687780009269,0.19993814751816916,8058
10,"true",0.5,7.0,5474.0,90821,0.3701165226902512,0.3602359149464535,0.20813917365641504,11830
2,"true",0.5,7.0,5474.0,86310,0.38560142407365505,0.4345092024539877,0.20846106683016555,12680
3,"true",0.5,7.0,5474.0,90792,0.38124848431351316,0.4263351749539595,0.22092845104948675,12458
4,"true",0.5,7.0,5474.0,86854,0.38015817291314025,0.38519981765689104,0.20875113947128532,11938
5,"true",0.5,7.0,5474.0,90982,0.3758301352638108,0.39044430919050516,0.2095006090133983,12240
6,"true",0.5,7.0,5474.0,89583,0.3710223488866714,0.3682840961273534,0.2063273727647868,11990
7,"true",0.5,7.0,5474.0,89796,0.3713601046280623,0.37386486070494074,0.21698258591462474,11714
8,"true",0.5,7.0,5474.0,90010,0.3751523223143262,0.37604881769641496,0.2138922888616891,12162
9,"true",0.5,7.0,5474.0,89368,0.36094874026172247,0.33503955328059565,0.20204841713221602,11254
